uid,100m,300m,500m,700m,900m
6057,0.805374115,0.602574823,0.449474863,0.309399342,0.192409092
6058,0.733364135,0.40514262,0.222105666,0.177402689,0.227572832
6059,0.815190908,0.599658645,0.447036195,0.310759545,0.180841324
6060,0.826777226,0.598366086,0.434889085,0.301426511,0.172299237
6061,0.748752546,0.392173049,0.194584369,0.191757696,0.283179627
6063,0.688102813,0.416467476,0.311317058,0.260173247,0.295457961
6064,0.835649983,0.606654177,0.449424045,0.313389568,0.190971378
6066,0.813712319,0.571766908,0.445338717,0.37300713,0.339871044
6067,0.823621283,0.564510631,0.450700917,0.366500171,0.320934936
6068,0.78240527,0.559756831,0.399617939,0.275290753,0.189078144
6069,0.816378178,0.579543177,0.416458362,0.311120548,0.250938475
6070,0.834288586,0.592070993,0.427100638,0.289609631,0.134359689
6071,0.835162293,0.591718789,0.425107185,0.29400827,0.150674336
6072,0.781440509,0.567686778,0.445825729,0.343067741,0.334377914
6073,0.825494972,0.588831074,0.429866001,0.279919949,0.154892959
6075,0.807372285,0.575728866,0.401616718,0.281140163,0.163695051
6076,0.759181406,0.536202392,0.374777123,0.292153371,0.255853641
6077,0.817273808,0.59049072,0.439873437,0.305674894,0.179207898
6078,0.817954251,0.590313327,0.434020882,0.293821824,0.183506118
6079,0.725759793,0.347599834,0.159559794,0.172888912,0.231490242
6082,0.816386811,0.59196675,0.436707338,0.297006352,0.241772779
6083,0.825483635,0.595350356,0.434495369,0.300899909,0.152396496
6085,0.778789147,0.567049747,0.431056167,0.302218869,0.317300222
6086,0.817760692,0.596937837,0.440317943,0.308042042,0.19020495
6087,0.801073628,0.585542932,0.483368813,0.401554758,0.380869295
6090,0.800535827,0.474888792,0.265480877,0.1610812,0.089569005
6091,0.70682845,0.465140267,0.390941294,0.301562567,0.352713683
6093,0.793128675,0.553682734,0.454557731,0.331556891,0.3790748
6094,0.656018835,0.352961295,0.24767664,0.211480984,0.247252636
6096,0.814744236,0.583537909,0.462736981,0.362176084,0.31779532
6097,0.807047347,0.588326065,0.444421829,0.322936737,0.244301846
6104,0.806797394,0.557345198,0.386411955,0.266373666,0.152043986
6106,0.801573445,0.470382209,0.311514374,0.265739164,0.326555614
6109,0.683284287,0.481711551,0.308804814,0.253810345,0.353747148
6167,0.706441106,0.511236317,0.395798117,0.291491619,0.348918423
6168,0.761545766,0.526730977,0.442444367,0.365269458,0.397299982
6170,0.523144177,0.207738987,0.11889159,0.125782256,0.151797825
6171,0.802078578,0.520728017,0.392238549,0.325023579,0.386804894
6174,0.6435105,0.435406729,0.352237446,0.303439586,0.363177041
6175,0.74929847,0.568709503,0.472572115,0.386895795,0.405837273
6176,0.650856924,0.432675986,0.34411044,0.273897363,0.315791022
6177,0.562458649,0.382040589,0.263375039,0.190006337,0.279033685
